pm10,so2,co,o3,no2,categori
55.0,17.0,30.0,45.0,17.0,SEDANG
60.0,16.0,27.0,65.0,17.0,SEDANG
62.0,17.0,31.0,40.0,16.0,SEDANG
49.0,13.0,31.0,29.0,11.0,BAIK
57.0,22.0,44.0,59.0,24.0,SEDANG
63.0,14.0,40.0,38.0,20.0,SEDANG
48.0,15.0,31.0,22.0,10.0,BAIK
50.0,16.0,21.0,25.0,10.0,BAIK
48.0,12.0,19.0,47.0,25.0,BAIK
57.0,15.0,36.0,57.0,29.0,SEDANG
61.0,13.0,31.0,48.0,17.0,SEDANG
60.0,17.0,38.0,59.0,17.0,SEDANG
61.0,13.0,40.0,80.0,32.0,SEDANG
60.0,12.0,42.0,73.0,19.0,SEDANG
61.0,16.0,40.0,77.0,26.0,SEDANG
63.0,14.0,36.0,35.0,20.0,SEDANG
54.0,16.0,20.0,31.0,9.0,SEDANG
43.0,16.0,33.0,28.0,6.0,BAIK
53.0,15.0,27.0,44.0,11.0,SEDANG
60.0,17.0,34.0,37.0,25.0,SEDANG
54.0,14.0,43.0,46.0,15.0,SEDANG
60.0,15.0,45.0,74.0,29.0,SEDANG
39.0,12.0,40.0,34.0,26.0,BAIK
44.0,17.0,36.0,29.0,14.0,BAIK
52.0,14.0,45.0,30.0,15.0,SEDANG
48.0,18.0,28.0,71.0,21.0,SEDANG
65.0,17.0,34.0,48.0,16.0,SEDANG
51.0,18.0,23.0,43.0,12.0,SEDANG
68.0,18.0,80.0,45.0,17.0,SEDANG
45.0,15.0,25.0,33.0,17.0,BAIK
49.0,19.0,33.0,36.0,15.0,BAIK
48.0,17.0,45.0,67.0,20.0,SEDANG
59.0,23.0,39.0,70.0,20.0,SEDANG
57.0,17.0,22.0,35.0,15.0,SEDANG
52.0,16.0,27.0,35.0,14.0,SEDANG
53.0,16.0,28.0,43.0,16.0,SEDANG
56.0,17.0,35.0,44.0,23.0,SEDANG
53.0,16.0,39.0,52.0,22.0,SEDANG
47.0,19.0,32.0,44.0,21.0,BAIK
48.0,17.0,26.0,54.0,17.0,SEDANG
51.0,15.0,35.0,26.0,19.0,SEDANG
56.0,19.0,45.0,30.0,19.0,SEDANG
50.0,16.0,43.0,65.0,21.0,SEDANG
38.0,11.0,32.0,29.0,11.0,BAIK
51.0,11.0,45.0,39.0,14.0,SEDANG
37.0,13.0,25.0,55.0,12.0,SEDANG
25.0,11.0,18.0,50.0,17.0,BAIK
24.0,10.0,18.0,51.0,13.0,SEDANG
28.0,12.0,26.0,42.0,11.0,BAIK
36.0,13.0,34.0,42.0,22.0,BAIK
36.0,12.0,28.0,21.0,14.0,BAIK
31.0,14.0,26.0,49.0,16.0,BAIK
51.0,16.0,32.0,50.0,15.0,SEDANG
49.0,14.0,25.0,34.0,11.0,BAIK
37.0,14.0,30.0,39.0,15.0,BAIK
41.0,14.0,30.0,30.0,18.0,BAIK
55.0,15.0,64.0,45.0,22.0,SEDANG
57.0,20.0,53.0,57.0,25.0,SEDANG
55.0,19.0,49.0,58.0,22.0,SEDANG
57.0,21.0,49.0,32.0,22.0,SEDANG
32.0,15.0,20.0,46.0,11.0,BAIK
50.0,18.0,36.0,51.0,22.0,SEDANG
37.0,16.0,31.0,71.0,21.0,SEDANG
62.0,21.0,35.0,78.0,28.0,SEDANG
65.0,19.0,36.0,62.0,23.0,SEDANG
54.0,17.0,32.0,100.0,23.0,SEDANG
56.0,18.0,41.0,67.0,20.0,SEDANG
60.0,16.0,62.0,43.0,19.0,SEDANG
39.0,15.0,44.0,51.0,27.0,SEDANG
54.0,22.0,39.0,63.0,23.0,SEDANG
69.0,27.0,41.0,71.0,24.0,SEDANG
50.0,17.0,42.0,80.0,30.0,SEDANG
62.0,21.0,36.0,59.0,24.0,SEDANG
53.0,16.0,44.0,62.0,21.0,SEDANG
41.0,19.0,23.0,55.0,14.0,SEDANG
46.0,21.0,28.0,111.0,24.0,TIDAK SEHAT
59.0,25.0,31.0,95.0,26.0,SEDANG
52.0,17.0,28.0,56.0,19.0,SEDANG
51.0,21.0,32.0,60.0,24.0,SEDANG
49.0,15.0,46.0,43.0,23.0,BAIK
48.0,18.0,31.0,40.0,17.0,BAIK
48.0,17.0,25.0,46.0,15.0,BAIK
54.0,16.0,38.0,64.0,18.0,SEDANG
47.0,17.0,31.0,69.0,22.0,SEDANG
47.0,15.0,35.0,70.0,20.0,SEDANG
41.0,17.0,33.0,90.0,21.0,SEDANG
48.0,17.0,31.0,75.0,23.0,SEDANG
56.0,15.0,59.0,66.0,23.0,SEDANG
52.0,15.0,35.0,37.0,17.0,SEDANG
43.0,18.0,38.0,58.0,23.0,SEDANG
37.0,15.0,48.0,32.0,18.0,BAIK
43.0,17.0,34.0,70.0,21.0,SEDANG
40.0,16.0,32.0,69.0,22.0,SEDANG
49.0,18.0,32.0,57.0,21.0,SEDANG
57.0,19.0,37.0,55.0,19.0,SEDANG
39.0,12.0,30.0,36.0,14.0,BAIK
33.0,14.0,18.0,25.0,8.0,BAIK
56.0,18.0,32.0,48.0,18.0,SEDANG
54.0,17.0,47.0,33.0,12.0,SEDANG
31.0,13.0,27.0,26.0,9.0,BAIK
49.0,14.0,30.0,26.0,12.0,BAIK
36.0,13.0,21.0,25.0,11.0,BAIK
22.0,13.0,19.0,23.0,8.0,BAIK
32.0,15.0,28.0,43.0,14.0,BAIK
56.0,20.0,39.0,54.0,26.0,SEDANG
53.0,20.0,30.0,50.0,20.0,SEDANG
40.0,18.0,23.0,31.0,9.0,BAIK
37.0,16.0,28.0,74.0,18.0,SEDANG
54.0,15.0,40.0,54.0,23.0,SEDANG
51.0,19.0,27.0,36.0,16.0,SEDANG
58.0,19.0,34.0,67.0,24.0,SEDANG
58.0,17.0,55.0,54.0,17.0,SEDANG
61.0,16.0,32.0,65.0,38.0,SEDANG
68.0,20.0,49.0,74.0,21.0,SEDANG
64.0,19.0,35.0,70.0,24.0,SEDANG
67.0,18.0,34.0,110.0,19.0,TIDAK SEHAT
57.0,19.0,38.0,90.0,30.0,SEDANG
63.0,18.0,39.0,53.0,24.0,SEDANG
66.0,26.0,39.0,51.0,23.0,SEDANG
52.0,17.0,28.0,77.0,16.0,SEDANG
59.0,21.0,35.0,84.0,26.0,SEDANG
59.0,17.0,49.0,120.0,21.0,TIDAK SEHAT
49.0,17.0,30.0,89.0,20.0,SEDANG
56.0,19.0,37.0,93.0,26.0,SEDANG
43.0,16.0,32.0,49.0,14.0,BAIK
28.0,17.0,26.0,29.0,12.0,BAIK
41.0,21.0,30.0,30.0,14.0,BAIK
45.0,31.0,34.0,38.0,14.0,BAIK
49.0,24.0,32.0,29.0,13.0,BAIK
31.0,15.0,34.0,25.0,6.0,BAIK
25.0,14.0,24.0,24.0,9.0,BAIK
25.0,14.0,23.0,22.0,6.0,BAIK
25.0,14.0,19.0,20.0,8.0,BAIK
28.0,14.0,23.0,19.0,11.0,BAIK
30.0,16.0,23.0,20.0,8.0,BAIK
25.0,13.0,20.0,21.0,8.0,BAIK
27.0,13.0,19.0,30.0,10.0,BAIK
34.0,16.0,22.0,30.0,10.0,BAIK
51.0,20.0,32.0,31.0,17.0,SEDANG
50.0,19.0,34.0,30.0,14.0,BAIK
36.0,19.0,27.0,22.0,14.0,BAIK
38.0,20.0,20.0,23.0,7.0,BAIK
33.0,15.0,27.0,20.0,9.0,BAIK
34.0,13.0,19.0,22.0,10.0,BAIK
33.0,17.0,26.0,20.0,11.0,BAIK
37.0,16.0,27.0,22.0,12.0,BAIK
29.0,14.0,34.0,17.0,13.0,BAIK
40.0,20.0,41.0,24.0,13.0,BAIK
51.0,19.0,32.0,97.0,23.0,SEDANG
59.0,28.0,27.0,28.0,14.0,SEDANG
39.0,18.0,23.0,48.0,12.0,BAIK
27.0,19.0,22.0,27.0,10.0,BAIK
38.0,15.0,23.0,35.0,12.0,BAIK
34.0,16.0,25.0,26.0,11.0,BAIK
36.0,18.0,24.0,22.0,8.0,BAIK
33.0,19.0,21.0,29.0,9.0,BAIK
52.0,17.0,51.0,46.0,7.0,SEDANG
35.0,15.0,15.0,47.0,10.0,BAIK
41.0,16.0,28.0,21.0,14.0,BAIK
34.0,17.0,19.0,26.0,11.0,BAIK
34.0,12.0,21.0,35.0,10.0,BAIK
28.0,11.0,30.0,42.0,16.0,BAIK
37.0,17.0,28.0,30.0,13.0,BAIK
57.0,22.0,37.0,23.0,14.0,SEDANG
46.0,18.0,24.0,31.0,11.0,BAIK
43.0,20.0,28.0,27.0,10.0,BAIK
49.0,16.0,28.0,34.0,14.0,BAIK
44.0,15.0,24.0,37.0,13.0,BAIK
39.0,15.0,26.0,32.0,15.0,BAIK
32.0,13.0,16.0,22.0,8.0,BAIK
32.0,14.0,20.0,36.0,10.0,BAIK
33.0,12.0,31.0,38.0,17.0,BAIK
42.0,13.0,31.0,33.0,14.0,BAIK
49.0,16.0,25.0,31.0,14.0,BAIK
50.0,13.0,39.0,42.0,21.0,BAIK
58.0,16.0,44.0,36.0,16.0,SEDANG
50.0,14.0,40.0,39.0,12.0,BAIK
57.0,20.0,31.0,36.0,10.0,SEDANG
44.0,23.0,27.0,37.0,13.0,BAIK
46.0,24.0,26.0,37.0,10.0,BAIK
42.0,20.0,24.0,37.0,11.0,BAIK
43.0,14.0,31.0,37.0,11.0,BAIK
24.0,14.0,23.0,33.0,10.0,BAIK
37.0,16.0,25.0,31.0,13.0,BAIK
30.0,14.0,22.0,19.0,8.0,BAIK
37.0,20.0,22.0,26.0,11.0,BAIK
49.0,18.0,29.0,32.0,11.0,BAIK
39.0,16.0,24.0,40.0,10.0,BAIK
41.0,16.0,27.0,33.0,12.0,BAIK
44.0,14.0,39.0,29.0,14.0,BAIK
29.0,15.0,21.0,30.0,16.0,BAIK
41.0,16.0,24.0,29.0,12.0,BAIK
39.0,17.0,28.0,44.0,11.0,BAIK
41.0,19.0,30.0,50.0,12.0,BAIK
54.0,18.0,30.0,48.0,15.0,SEDANG
78.0,21.0,49.0,96.0,24.0,SEDANG
60.0,17.0,33.0,48.0,14.0,SEDANG
57.0,18.0,26.0,54.0,12.0,SEDANG
41.0,12.0,39.0,42.0,13.0,BAIK
48.0,15.0,53.0,37.0,13.0,SEDANG
51.0,16.0,21.0,34.0,13.0,SEDANG
46.0,22.0,33.0,34.0,16.0,BAIK
36.0,18.0,24.0,39.0,13.0,BAIK
46.0,21.0,26.0,33.0,12.0,BAIK
42.0,17.0,24.0,46.0,13.0,BAIK
43.0,16.0,22.0,40.0,13.0,BAIK
46.0,15.0,23.0,42.0,12.0,BAIK
47.0,15.0,26.0,41.0,11.0,BAIK
39.0,14.0,24.0,29.0,12.0,BAIK
39.0,15.0,32.0,26.0,15.0,BAIK
39.0,16.0,29.0,22.0,12.0,BAIK
21.0,14.0,26.0,21.0,8.0,BAIK
28.0,15.0,21.0,34.0,7.0,BAIK
29.0,16.0,22.0,25.0,9.0,BAIK
32.0,18.0,27.0,26.0,13.0,BAIK
33.0,17.0,35.0,33.0,13.0,BAIK
30.0,14.0,24.0,23.0,6.0,BAIK
25.0,14.0,17.0,17.0,5.0,BAIK
27.0,14.0,20.0,30.0,9.0,BAIK
31.0,17.0,25.0,33.0,11.0,BAIK
32.0,17.0,26.0,30.0,14.0,BAIK
28.0,15.0,24.0,37.0,10.0,BAIK
35.0,17.0,26.0,54.0,10.0,SEDANG
46.0,17.0,25.0,45.0,11.0,BAIK
56.0,15.0,47.0,24.0,11.0,SEDANG
41.0,16.0,25.0,37.0,12.0,BAIK
39.0,19.0,35.0,53.0,18.0,SEDANG
57.0,19.0,54.0,73.0,21.0,SEDANG
55.0,22.0,33.0,47.0,20.0,SEDANG
56.0,17.0,26.0,71.0,23.0,SEDANG
54.0,15.0,32.0,50.0,22.0,SEDANG
31.0,13.0,20.0,38.0,8.0,BAIK
29.0,15.0,22.0,22.0,8.0,BAIK
25.0,15.0,22.0,22.0,7.0,BAIK
22.0,14.0,18.0,24.0,7.0,BAIK
22.0,14.0,22.0,27.0,10.0,BAIK
25.0,13.0,22.0,27.0,8.0,BAIK
23.0,13.0,19.0,28.0,9.0,BAIK
21.0,13.0,15.0,21.0,8.0,BAIK
21.0,13.0,16.0,20.0,6.0,BAIK
23.0,14.0,19.0,23.0,6.0,BAIK
25.0,14.0,21.0,21.0,7.0,BAIK
23.0,14.0,20.0,21.0,5.0,BAIK
24.0,15.0,24.0,25.0,6.0,BAIK
24.0,14.0,13.0,22.0,7.0,BAIK
26.0,15.0,23.0,25.0,9.0,BAIK
23.0,14.0,21.0,27.0,7.0,BAIK
25.0,14.0,19.0,23.0,6.0,BAIK
27.0,15.0,20.0,28.0,8.0,BAIK
40.0,18.0,24.0,44.0,12.0,BAIK
50.0,21.0,33.0,24.0,12.0,BAIK
39.0,16.0,23.0,42.0,9.0,BAIK
40.0,17.0,30.0,37.0,11.0,BAIK
62.0,22.0,35.0,67.0,19.0,SEDANG
62.0,23.0,32.0,82.0,17.0,SEDANG
62.0,22.0,35.0,55.0,26.0,SEDANG
65.0,23.0,36.0,76.0,23.0,SEDANG
58.0,18.0,29.0,88.0,34.0,SEDANG
64.0,23.0,30.0,66.0,19.0,SEDANG
58.0,19.0,33.0,51.0,21.0,SEDANG
55.0,16.0,26.0,125.0,15.0,TIDAK SEHAT
51.0,15.0,18.0,82.0,13.0,SEDANG
53.0,15.0,27.0,83.0,16.0,SEDANG
55.0,17.0,36.0,70.0,14.0,SEDANG
57.0,24.0,27.0,61.0,15.0,SEDANG
53.0,25.0,34.0,71.0,22.0,SEDANG
54.0,18.0,32.0,68.0,15.0,SEDANG
56.0,19.0,27.0,60.0,14.0,SEDANG
62.0,19.0,42.0,78.0,22.0,SEDANG
59.0,18.0,51.0,88.0,20.0,SEDANG
39.0,19.0,35.0,93.0,21.0,SEDANG
61.0,22.0,31.0,69.0,14.0,SEDANG
39.0,18.0,26.0,47.0,12.0,BAIK
39.0,17.0,28.0,63.0,11.0,SEDANG
46.0,22.0,36.0,62.0,14.0,SEDANG
39.0,22.0,30.0,63.0,10.0,SEDANG
44.0,15.0,29.0,50.0,10.0,BAIK
57.0,20.0,29.0,107.0,19.0,TIDAK SEHAT
57.0,19.0,30.0,89.0,20.0,SEDANG
60.0,19.0,31.0,75.0,17.0,SEDANG
59.0,18.0,35.0,87.0,18.0,SEDANG
60.0,17.0,33.0,72.0,19.0,SEDANG
55.0,16.0,31.0,85.0,13.0,SEDANG
53.0,17.0,30.0,89.0,22.0,SEDANG
55.0,18.0,28.0,77.0,18.0,SEDANG
52.0,18.0,34.0,77.0,19.0,SEDANG
67.0,20.0,41.0,71.0,19.0,SEDANG
53.0,20.0,36.0,78.0,19.0,SEDANG
